Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
Post_33,youtube,#gaming,live stream,usa,4977438,8731,4500,46045,low
Post_34,youtube,#viral,reel,australia,3005703,16688,77970,15891,low
Post_35,youtube,#education,tweet,uk,936390,368646,92202,2016,low
Post_36,tiktok,#education,live stream,japan,1855796,158156,6423,20518,high
Post_37,instagram,#music,reel,germany,48908,205884,37256,14618,low
Post_38,instagram,#dance,video,india,1367820,10794,7617,36639,medium
Post_39,tiktok,#gaming,shorts,usa,4499253,469481,89583,41549,high
Post_40,twitter,#comedy,post,usa,4510477,274631,82143,13932,low
Post_41,twitter,#education,reel,india,4380015,355402,41860,42729,high
Post_42,youtube,#fashion,live stream,australia,943395,402996,18661,11999,high
Post_43,twitter,#comedy,post,brazil,3961278,49656,93072,23952,medium
Post_44,youtube,#comedy,shorts,brazil,4080112,171609,17994,41339,medium
Post_45,twitter,#comedy,shorts,germany,3934142,380972,42858,26194,low
Post_46,instagram,#gaming,tweet,brazil,272327,274271,56073,17526,high
Post_47,instagram,#tech,reel,japan,1600237,325368,62818,25686,medium
Post_48,instagram,#dance,live stream,india,2212857,74624,24137,35546,medium
Post_49,twitter,#gaming,live stream,usa,4711157,313821,86074,36395,high
Post_50,instagram,#fashion,reel,japan,2747788,422463,21545,40997,low
Post_51,youtube,#dance,post,australia,2081426,225061,67840,28774,medium
Post_52,youtube,#music,live stream,canada,2258494,159509,25505,8605,medium
Post_53,youtube,#comedy,tweet,japan,1357850,472399,90644,33331,low
Post_54,twitter,#fitness,reel,canada,392337,332566,43169,45161,medium
Post_55,twitter,#dance,reel,usa,4006009,491965,60534,31438,high
Post_56,youtube,#fitness,tweet,australia,3934991,389693,81891,32967,medium
Post_57,instagram,#challenge,live stream,australia,2824818,34126,53516,29452,low
Post_58,twitter,#dance,video,australia,197986,184395,9408,7599,medium
Post_59,youtube,#challenge,post,germany,2291491,474568,83894,6150,high
Post_60,twitter,#music,live stream,uk,3525573,40967,4121,26381,low
Post_61,tiktok,#music,reel,usa,866896,122451,79602,25491,low
Post_62,youtube,#tech,video,australia,4104535,331535,60374,13314,medium
Post_63,tiktok,#dance,tweet,india,2601441,93254,55921,48758,low
Post_64,instagram,#gaming,shorts,canada,1142030,212596,72334,18,high
Post_65,youtube,#fashion,shorts,canada,2969591,358102,26688,8128,low
Post_66,tiktok,#education,post,japan,855465,14117,73654,46422,high
Post_67,youtube,#viral,video,brazil,4453459,376054,36502,19620,high
Post_68,twitter,#dance,reel,japan,1059696,75851,99754,47614,high
Post_69,twitter,#fitness,tweet,usa,581577,341805,67524,485,high
Post_70,youtube,#fitness,tweet,australia,4226427,421149,53769,27804,medium
Post_71,twitter,#dance,reel,japan,485214,50577,92342,43775,medium
Post_72,instagram,#education,tweet,australia,1419701,68719,98115,36515,low
Post_73,tiktok,#fashion,post,germany,4378457,136878,89273,41624,medium
Post_74,tiktok,#music,post,india,3647159,216783,79133,7687,high
Post_75,youtube,#gaming,video,usa,1750105,125485,942,20317,low
Post_76,instagram,#dance,tweet,india,1796369,145118,68421,16720,high
Post_77,twitter,#fitness,shorts,india,1535141,15408,23087,23147,medium
Post_78,twitter,#challenge,video,australia,612594,132163,29340,40557,medium
Post_79,instagram,#challenge,reel,usa,4219632,171996,5043,3436,medium
Post_80,twitter,#viral,shorts,japan,3994554,241425,99422,41307,high
Post_81,instagram,#challenge,shorts,india,4290853,211176,66264,14337,medium
Post_82,instagram,#dance,live stream,australia,284772,338933,22771,18899,low
Post_83,instagram,#gaming,live stream,japan,4637078,219517,5831,32657,low
Post_84,instagram,#comedy,shorts,brazil,3315125,62336,79392,42892,high
Post_85,twitter,#fitness,shorts,brazil,4357287,106179,4262,12978,medium
Post_86,tiktok,#fitness,shorts,canada,907386,52457,77192,32870,high
Post_87,twitter,#gaming,post,india,1908555,194688,34182,3500,high
Post_88,twitter,#challenge,post,japan,3074269,18233,37713,28599,medium
Post_89,youtube,#dance,post,brazil,4067125,190686,12963,11560,high
Post_90,youtube,#fitness,reel,japan,1173157,137342,95328,47250,low
Post_91,tiktok,#fitness,reel,germany,2141884,23466,66627,40003,high
Post_92,twitter,#comedy,post,india,4567233,66980,96596,49121,low
Post_93,twitter,#gaming,post,uk,506074,69145,31191,43362,low
Post_94,youtube,#comedy,tweet,uk,3210080,195970,75414,4473,high
Post_95,tiktok,#tech,video,germany,128472,444670,64311,7956,medium
Post_96,tiktok,#music,reel,india,1347102,274212,15298,28342,high
Post_97,tiktok,#tech,live stream,uk,92085,176687,5641,22316,medium
Post_98,tiktok,#tech,post,australia,3843536,90333,10903,30677,medium
Post_99,instagram,#viral,reel,germany,965073,263310,39207,27324,high
Post_100,youtube,#education,post,canada,3096420,364521,73308,29082,low
Post_101,youtube,#gaming,tweet,germany,2723916,1349,81918,11870,high
Post_102,tiktok,#music,live stream,uk,2249678,46464,83075,5710,medium
Post_103,twitter,#viral,shorts,germany,3311289,352538,55203,5369,medium
Post_104,instagram,#music,tweet,india,3588997,241125,65026,30917,medium
Post_105,instagram,#fitness,post,japan,13562,11483,33641,30457,medium
Post_106,twitter,#fitness,live stream,usa,3926751,302919,49216,30399,low
Post_107,youtube,#music,tweet,uk,2750317,59766,75524,27938,high
Post_108,tiktok,#challenge,reel,germany,4655757,383024,45530,48504,medium
Post_109,instagram,#fitness,video,usa,4844012,452777,44862,23870,high
Post_110,twitter,#dance,video,usa,3868789,188191,4660,26605,medium
Post_111,twitter,#viral,tweet,australia,2517364,418305,51641,34605,high
Post_112,instagram,#dance,video,brazil,1994041,310266,87995,40217,medium
Post_113,tiktok,#education,shorts,australia,1402998,241244,56779,14849,high
Post_114,youtube,#fashion,live stream,brazil,702950,17361,62405,10538,low
Post_115,instagram,#education,tweet,canada,1599554,364748,16705,8949,high
Post_116,tiktok,#tech,post,australia,4600976,443617,98343,18038,high
Post_117,twitter,#viral,shorts,usa,2495410,213884,16804,17614,low
Post_118,tiktok,#dance,video,germany,1838563,289125,77191,27066,high
Post_119,youtube,#tech,shorts,india,2920650,416403,56902,2675,low
Post_120,tiktok,#viral,video,germany,1772623,361245,30503,13260,low
Post_121,instagram,#comedy,shorts,australia,2484315,101605,80028,36281,high
Post_122,youtube,#comedy,live stream,india,4927173,22341,38730,42476,medium
Post_123,tiktok,#challenge,video,uk,3924183,283030,30676,43977,low
Post_124,instagram,#music,post,usa,4646060,21362,31562,19778,medium
Post_125,youtube,#fitness,video,usa,3901900,20166,30661,25363,low
Post_126,instagram,#fashion,video,japan,962137,319381,69098,38387,low
Post_127,tiktok,#education,video,germany,3859007,277223,81798,46985,medium
Post_128,twitter,#challenge,shorts,uk,3837223,140163,85932,40674,medium
Post_129,instagram,#comedy,post,uk,1029488,449148,87211,35005,high
Post_130,twitter,#fashion,post,germany,879364,232290,7501,23547,low
Post_131,tiktok,#comedy,live stream,usa,4828597,131837,43770,9395,low
Post_132,youtube,#education,video,india,3487375,107303,83451,45313,high
Post_133,tiktok,#dance,tweet,india,3418884,311286,82479,7832,high
Post_134,youtube,#challenge,reel,brazil,1337059,318166,72711,32791,high
Post_135,tiktok,#education,live stream,canada,707841,133933,46058,45912,high
Post_136,tiktok,#fitness,shorts,australia,1851460,345987,13274,43872,low
Post_137,instagram,#fashion,tweet,canada,1438248,223413,84930,42774,low
Post_138,instagram,#fashion,live stream,brazil,4027409,80497,44156,14597,medium
Post_139,instagram,#music,video,india,3488909,443844,19877,22056,low
Post_140,tiktok,#fitness,video,usa,1089083,150418,45387,25632,medium
Post_141,tiktok,#fashion,live stream,germany,682046,480038,71997,18117,high
Post_142,youtube,#tech,live stream,brazil,4849297,86843,16843,14705,low
Post_143,instagram,#challenge,tweet,usa,4283565,107901,84854,4738,low
Post_144,twitter,#comedy,shorts,india,50082,70708,277,25036,low
Post_145,twitter,#viral,post,usa,3940355,82304,68754,15897,low
Post_146,instagram,#education,reel,canada,964498,194879,76029,34998,high
Post_147,tiktok,#tech,shorts,uk,636824,363548,17456,8176,low
Post_148,tiktok,#comedy,reel,india,4179125,94325,72341,7328,low
Post_149,instagram,#gaming,video,brazil,1292958,95304,3716,44880,low
Post_150,instagram,#viral,reel,uk,4103477,75909,5645,4052,low
Post_151,twitter,#education,reel,germany,3529777,68367,38326,879,high
Post_152,instagram,#fashion,reel,usa,4593170,34210,33344,11022,low
Post_153,tiktok,#challenge,shorts,brazil,3251679,498580,96093,9968,medium
Post_154,instagram,#tech,shorts,canada,41081,319140,6541,23057,low
Post_155,twitter,#dance,shorts,canada,2127698,193956,14856,32442,medium
Post_156,youtube,#education,shorts,australia,4765117,177035,49884,46238,medium
Post_157,twitter,#fitness,reel,india,2114283,462542,14404,37153,low
Post_158,youtube,#fashion,reel,canada,4391275,392281,14429,27404,high
Post_159,tiktok,#gaming,post,india,1246500,471547,15048,40514,high
Post_160,twitter,#music,tweet,germany,4555977,1087,23157,12611,medium
Post_161,twitter,#gaming,tweet,india,400424,56569,59897,49341,medium
Post_162,instagram,#challenge,video,brazil,3201846,335416,50986,16715,high
Post_163,tiktok,#gaming,video,germany,102418,107650,94514,26548,medium
Post_164,twitter,#comedy,tweet,australia,4253909,448284,39383,32995,low
Post_165,tiktok,#fitness,live stream,australia,1551922,47511,7404,25497,low
Post_166,youtube,#challenge,post,germany,3587143,430347,96428,42640,medium
Post_167,instagram,#fashion,video,usa,2252593,61466,13181,29007,high
Post_168,youtube,#challenge,video,australia,2547290,382792,78654,30532,medium
Post_169,youtube,#viral,reel,usa,2946297,223304,83502,10855,low
Post_170,twitter,#education,video,india,4459268,356292,52389,33857,low
Post_171,instagram,#music,live stream,australia,1630617,435112,71742,49750,high
Post_172,instagram,#education,live stream,usa,4709770,389553,55435,16799,medium
Post_173,instagram,#fitness,tweet,australia,2275387,271817,72208,27046,high
Post_174,tiktok,#tech,tweet,brazil,2784320,373955,22997,15361,high
Post_175,twitter,#music,tweet,usa,3674194,19972,97555,24310,medium
Post_176,youtube,#music,post,uk,2126429,36274,51278,44234,medium
Post_177,youtube,#fitness,shorts,usa,1598712,280260,58128,4485,high
Post_178,twitter,#fashion,video,australia,3464211,115302,63150,37858,medium
Post_179,twitter,#fitness,reel,uk,1519290,495937,13211,49107,low
Post_180,instagram,#fitness,tweet,canada,4888613,414422,11933,23903,high
Post_181,twitter,#viral,shorts,usa,3712060,302466,63802,49953,low
Post_182,instagram,#tech,reel,uk,4003071,22251,13517,13392,low
Post_183,instagram,#dance,video,germany,681752,197632,98860,19379,high
Post_184,instagram,#gaming,shorts,germany,4684548,122401,82864,42106,low
Post_185,instagram,#tech,video,uk,3916842,292224,72417,38211,high
Post_186,tiktok,#dance,reel,uk,798887,326922,87308,21689,medium
Post_187,twitter,#gaming,video,australia,688077,243607,79071,12078,high
Post_188,twitter,#challenge,reel,japan,1520250,214233,80,10917,medium
Post_189,tiktok,#fashion,post,australia,496652,106618,64875,44200,high
Post_190,tiktok,#education,reel,india,479620,337321,99486,26524,medium
Post_191,youtube,#education,reel,usa,4221739,291223,61415,44293,low
Post_192,twitter,#education,live stream,brazil,4425196,324343,33641,22289,high
Post_193,instagram,#comedy,shorts,uk,4236960,259668,86293,16169,low
Post_194,tiktok,#education,reel,india,2488223,177673,86535,39991,low
Post_195,youtube,#dance,live stream,uk,2809035,359231,78623,27822,medium
Post_196,youtube,#music,shorts,brazil,444252,398838,7767,19133,high
Post_197,instagram,#fashion,reel,india,907575,42770,5219,47956,low
Post_198,tiktok,#dance,post,canada,2440215,199343,53628,10359,medium
Post_199,tiktok,#comedy,shorts,usa,3982001,131915,64092,22170,medium
Post_200,twitter,#fashion,reel,brazil,3802724,457464,83495,19409,high
Post_201,youtube,#dance,shorts,australia,3049554,441149,46483,36909,low
Post_202,youtube,#fashion,video,germany,3186810,312491,66586,7390,medium
Post_203,youtube,#gaming,live stream,australia,810296,77866,87591,41350,high
Post_204,twitter,#dance,post,uk,4459224,957,54290,47674,high
Post_205,instagram,#viral,post,usa,741152,226355,58251,46227,high
Post_206,twitter,#fashion,tweet,usa,2945128,368541,66690,3800,medium
Post_207,twitter,#music,post,canada,2302342,153529,52488,41257,high
Post_208,youtube,#fashion,shorts,australia,469793,295293,29190,9480,medium
Post_209,twitter,#comedy,live stream,uk,2452099,320043,91765,2987,low
Post_210,tiktok,#tech,live stream,uk,2651939,209375,2127,12291,low
Post_211,tiktok,#fitness,shorts,india,1580449,299597,35471,1908,high
Post_212,instagram,#dance,tweet,india,4764800,52536,65976,47528,medium
Post_213,twitter,#comedy,tweet,japan,4336145,295452,2342,22411,medium
Post_214,instagram,#viral,shorts,japan,4316287,188239,34891,39029,medium
Post_215,twitter,#gaming,tweet,japan,1516746,272088,48475,36816,medium
Post_216,tiktok,#fitness,post,usa,4497673,460735,96637,47633,medium
Post_217,youtube,#dance,live stream,uk,1200639,381211,2574,40242,medium
Post_218,youtube,#viral,tweet,usa,3115115,81186,14964,1885,low
Post_219,twitter,#dance,tweet,india,89968,450376,40577,19844,medium
Post_220,tiktok,#dance,tweet,japan,2177828,478703,86167,17109,medium
Post_221,twitter,#viral,shorts,india,306511,404600,32664,35337,medium
Post_222,instagram,#music,reel,uk,4422912,199110,95413,32057,low
Post_223,instagram,#tech,post,uk,4326885,300734,1870,1496,medium
Post_224,youtube,#music,live stream,germany,4732360,84552,21664,36363,medium
Post_225,youtube,#gaming,video,japan,2510808,348707,17968,46925,high
Post_226,instagram,#education,video,usa,2710672,252420,23167,5670,low
Post_227,tiktok,#fitness,shorts,australia,4096796,365062,58371,48138,medium
Post_228,youtube,#gaming,live stream,uk,940184,131729,1559,12135,low
Post_229,twitter,#viral,shorts,usa,2184148,326178,46185,1902,high
Post_230,instagram,#challenge,shorts,australia,1498512,205870,16834,34865,medium
Post_231,instagram,#dance,video,germany,4300552,428951,18627,12148,low
Post_232,youtube,#challenge,reel,japan,3267055,133930,81976,22080,low
Post_233,tiktok,#fitness,post,canada,2095875,78244,43598,16006,low
Post_234,youtube,#education,shorts,usa,1465227,158579,8809,33511,high
Post_235,youtube,#viral,reel,japan,1715566,326676,69635,19235,low
Post_236,instagram,#fitness,reel,brazil,4708687,133736,49028,3765,medium
Post_237,youtube,#challenge,tweet,uk,1091635,198291,5604,31314,medium
Post_238,tiktok,#dance,reel,uk,1111002,266261,22269,39363,low
Post_239,youtube,#comedy,post,japan,869375,123390,59716,46989,low
Post_240,twitter,#gaming,video,japan,2551247,384714,36284,18974,high
Post_241,youtube,#viral,shorts,india,920528,400658,58158,26810,high
Post_242,youtube,#viral,shorts,japan,2846948,55585,27235,29699,medium
Post_243,instagram,#fashion,shorts,uk,2801638,111973,60593,35663,medium
Post_244,tiktok,#dance,video,canada,1556267,56055,12612,20474,low
Post_245,tiktok,#viral,post,brazil,1828433,126683,82181,48618,low
Post_246,youtube,#dance,post,uk,3988715,211316,4804,33837,medium
Post_247,tiktok,#fashion,video,canada,3290858,250085,41283,20251,high
Post_248,youtube,#viral,tweet,usa,3703315,449350,54600,26510,medium
Post_249,tiktok,#education,post,canada,506215,303740,98918,36904,medium
Post_250,youtube,#fitness,post,canada,762333,406861,79834,13785,medium
Post_251,twitter,#dance,post,brazil,3252738,420498,5811,2661,high
Post_252,instagram,#fashion,tweet,germany,4080585,203708,22677,23693,medium
Post_253,tiktok,#comedy,tweet,germany,1450112,409512,91982,9118,medium
Post_254,twitter,#gaming,post,uk,2512592,418988,4122,18706,low
Post_255,tiktok,#fitness,video,japan,3714148,291659,27722,28024,high
Post_256,twitter,#challenge,tweet,usa,2276898,337038,56049,13735,medium
Post_257,youtube,#challenge,shorts,australia,342675,493624,4168,35727,low
Post_258,instagram,#fitness,post,australia,2787914,198350,96753,45466,medium
Post_259,instagram,#comedy,tweet,usa,893271,69359,66059,43386,medium
Post_260,youtube,#dance,post,japan,2061951,381908,33698,25476,high
Post_261,twitter,#music,reel,canada,3823345,32222,64447,44453,high
Post_262,twitter,#fitness,live stream,usa,4330038,118835,19134,27781,high
Post_263,youtube,#fitness,video,canada,2714016,86422,85827,36320,high
Post_264,instagram,#music,tweet,canada,4588770,448601,52948,32818,medium
Post_265,instagram,#tech,video,canada,485489,265199,14446,34447,low
Post_266,youtube,#education,post,uk,2688752,472554,2742,14495,low
Post_267,youtube,#comedy,post,brazil,2417512,154294,98184,18043,medium
Post_268,tiktok,#comedy,tweet,japan,1612356,488560,75088,11999,low
Post_269,instagram,#dance,shorts,japan,242459,366128,20712,22677,medium
Post_270,twitter,#dance,live stream,uk,4041579,326486,69020,47705,high
Post_271,twitter,#dance,post,canada,2214561,156292,18753,3643,medium
Post_272,youtube,#dance,post,uk,2524440,262085,98352,37571,high
Post_273,instagram,#viral,reel,canada,4675636,328475,4510,45120,low
Post_274,youtube,#tech,live stream,uk,1093553,43035,52724,29091,low
Post_275,twitter,#music,tweet,australia,2860355,157614,70326,47778,medium
Post_276,twitter,#fitness,video,usa,4643597,200851,87149,35230,low
Post_277,twitter,#challenge,reel,brazil,4889936,142520,56142,26214,high
Post_278,tiktok,#education,reel,japan,1483481,353517,41615,11414,low
Post_279,instagram,#dance,tweet,germany,734933,421895,50675,12150,medium
Post_280,youtube,#fashion,reel,japan,4485712,464196,67958,45876,high
Post_281,twitter,#comedy,shorts,uk,1165962,105888,48384,47511,high
Post_282,twitter,#gaming,tweet,india,791211,251591,9900,36509,high
Post_283,youtube,#dance,post,uk,755921,275570,36739,37643,high
Post_284,instagram,#fitness,tweet,india,1966067,136472,63614,18304,medium
Post_285,twitter,#fashion,tweet,germany,3275624,455318,72364,39134,medium
Post_286,twitter,#comedy,live stream,india,4914869,200375,2393,37178,medium
Post_287,twitter,#music,tweet,japan,694970,180020,88660,5645,high
Post_288,youtube,#comedy,tweet,australia,2507996,317525,50404,25462,high
Post_289,twitter,#dance,reel,usa,2122512,277831,95870,1487,high
Post_290,twitter,#dance,reel,usa,4445772,159466,75212,24528,low
Post_291,instagram,#education,video,uk,495496,300566,97031,48197,low
Post_292,tiktok,#challenge,post,germany,1035819,94853,68842,31836,low
Post_293,twitter,#comedy,tweet,usa,424447,50456,76836,13951,high
Post_294,tiktok,#gaming,shorts,germany,3949831,495150,7915,2858,high
Post_295,instagram,#tech,reel,canada,70424,392371,44740,10705,low
Post_296,tiktok,#fitness,live stream,india,4820393,44861,86973,46410,medium
Post_297,tiktok,#fashion,reel,canada,864256,437954,60063,46333,high
Post_298,instagram,#comedy,reel,germany,1853392,232747,87334,27858,medium
Post_299,twitter,#challenge,live stream,germany,4700334,65555,32126,13215,high
Post_300,tiktok,#education,video,brazil,4412697,108323,25130,6295,high
Post_301,instagram,#education,live stream,brazil,340950,127995,30856,14353,high
Post_302,tiktok,#tech,tweet,japan,3763770,75074,87283,26590,medium
Post_303,twitter,#dance,tweet,japan,394485,373829,36151,12167,low
Post_304,twitter,#viral,live stream,australia,4250412,138828,47483,35614,high
Post_305,twitter,#tech,reel,uk,1722013,357734,70729,37238,high
Post_306,twitter,#comedy,video,brazil,1359747,471796,85070,14073,high
Post_307,youtube,#comedy,tweet,germany,3205182,109645,57308,13223,medium
Post_308,instagram,#education,video,india,1333000,426321,26174,27048,medium
Post_309,instagram,#challenge,post,uk,543708,19494,13359,8753,low
Post_310,tiktok,#fitness,shorts,australia,2337694,429342,49196,28304,medium
Post_311,tiktok,#comedy,shorts,brazil,1423060,44643,79715,20950,high
Post_312,twitter,#comedy,live stream,brazil,70463,81866,70328,42489,low
Post_313,tiktok,#dance,post,brazil,245443,457409,42668,8442,low
Post_314,tiktok,#education,tweet,japan,2243003,67157,46609,10189,high
Post_315,youtube,#comedy,post,india,567506,90799,30845,11229,medium
Post_316,youtube,#music,post,japan,1345248,10364,16629,34324,medium
Post_317,instagram,#dance,video,canada,567122,489613,6414,13429,low
Post_318,twitter,#fitness,video,uk,4719001,143216,93614,38476,low
Post_319,tiktok,#gaming,tweet,uk,1357286,485410,96395,177,high
Post_320,twitter,#fashion,tweet,india,2298278,202870,25710,3153,low
Post_321,tiktok,#challenge,post,brazil,436487,440596,28677,23094,medium
Post_322,youtube,#fashion,post,brazil,2824208,151603,30104,8914,high
Post_323,twitter,#gaming,tweet,germany,2517906,254149,3970,17586,medium
Post_324,tiktok,#challenge,tweet,japan,1070510,29674,53802,4514,high
Post_325,tiktok,#comedy,tweet,uk,3369227,130484,70848,12010,medium
Post_326,tiktok,#fitness,video,usa,2580238,118495,10621,34440,medium
Post_327,tiktok,#comedy,live stream,japan,1094116,301730,23651,29582,high
Post_328,youtube,#music,reel,uk,3107277,201634,7994,4367,high
Post_329,instagram,#tech,video,canada,3502729,423463,33243,17585,medium
Post_330,youtube,#tech,tweet,brazil,3073848,306268,94923,45513,medium
Post_331,tiktok,#comedy,tweet,japan,2092377,158177,72216,47525,high
Post_332,youtube,#education,post,usa,4530257,474798,91950,40024,high
Post_333,tiktok,#tech,live stream,japan,4297874,462449,15517,44021,medium
Post_334,tiktok,#comedy,post,australia,2847461,439633,17966,47276,medium
Post_335,instagram,#viral,video,canada,4096574,225112,53015,15291,low
Post_336,twitter,#fitness,reel,brazil,3708615,239914,45200,8352,low
Post_337,tiktok,#music,reel,india,4047898,375210,72728,40390,medium
Post_338,twitter,#comedy,reel,brazil,2676484,97672,26461,49856,high
Post_339,instagram,#education,video,canada,961039,320162,73066,32,low
Post_340,twitter,#fashion,tweet,canada,3806052,336179,69578,32549,medium
Post_341,tiktok,#viral,tweet,australia,2277888,10022,63720,49788,low
Post_342,instagram,#viral,tweet,uk,3850711,419814,14656,45277,low
Post_343,twitter,#tech,shorts,germany,1675122,177756,68407,36886,medium
Post_344,instagram,#challenge,video,canada,121735,293092,98179,41884,low
Post_345,instagram,#music,reel,australia,423362,110690,51877,22816,high
Post_346,twitter,#challenge,shorts,australia,2902262,99211,30845,37170,medium
Post_347,youtube,#challenge,post,brazil,1670715,304208,67487,36984,high
Post_348,youtube,#fitness,tweet,brazil,3577708,6650,74312,12776,low
Post_349,twitter,#comedy,post,australia,4157406,52815,89361,25431,medium
Post_350,tiktok,#comedy,post,brazil,4955860,204064,19359,46500,medium
Post_351,tiktok,#tech,post,usa,3562055,211324,22318,48831,low
Post_352,youtube,#fashion,post,canada,4443444,329468,67869,13843,medium
Post_353,tiktok,#comedy,video,uk,377149,207589,13408,15058,high
Post_354,youtube,#tech,live stream,usa,2711504,428947,52195,4775,high
Post_355,youtube,#challenge,live stream,australia,429918,121461,7858,29359,low
Post_356,youtube,#gaming,live stream,germany,4023574,127139,4948,42147,medium
Post_357,tiktok,#gaming,tweet,brazil,3106083,104414,65393,39972,high
Post_358,twitter,#viral,shorts,uk,374765,370936,46890,10055,low
Post_359,instagram,#tech,post,brazil,3573199,332761,15013,41115,low
Post_360,youtube,#education,post,brazil,1772657,333017,23933,28501,low
Post_361,youtube,#gaming,post,uk,3559212,54955,38056,8025,high
Post_362,tiktok,#education,live stream,germany,147632,19332,644,49459,low
Post_363,instagram,#challenge,post,japan,258238,465551,15136,48715,low
Post_364,tiktok,#dance,video,germany,4133077,402734,72073,18629,medium
Post_365,twitter,#challenge,shorts,india,3128393,105546,30995,41182,medium
Post_366,instagram,#music,tweet,australia,1568970,253002,46733,33534,medium
Post_367,instagram,#education,live stream,uk,464742,267582,36900,25379,high
Post_368,tiktok,#fitness,video,germany,2014353,461968,86514,36689,high
Post_369,instagram,#dance,tweet,uk,2177286,201616,27274,22357,high
Post_370,tiktok,#viral,tweet,germany,4338397,139678,73551,14788,medium
Post_371,instagram,#gaming,video,india,4659521,103924,29063,38288,medium
Post_372,youtube,#challenge,tweet,australia,2893640,20284,70366,14181,high
Post_373,tiktok,#comedy,post,germany,2815469,426113,93461,42629,medium
Post_374,instagram,#viral,tweet,usa,3031527,384860,45831,37574,high
Post_375,instagram,#challenge,tweet,germany,4655360,225104,99715,47565,low
Post_376,youtube,#viral,post,australia,1850613,125819,12927,41305,medium
Post_377,tiktok,#gaming,tweet,germany,2210593,351628,3482,3706,high
Post_378,twitter,#education,tweet,canada,2511011,219874,52071,723,high
Post_379,twitter,#comedy,reel,usa,4904231,448526,39996,15900,medium
Post_380,youtube,#tech,tweet,japan,630739,396267,48676,22034,low
Post_381,tiktok,#gaming,tweet,india,1572385,2798,3479,39467,low
Post_382,instagram,#dance,shorts,usa,871802,491525,45339,23004,medium
Post_383,youtube,#tech,reel,usa,3044031,327478,80291,4748,low
Post_384,twitter,#comedy,live stream,uk,3432762,386123,50354,18115,high
Post_385,twitter,#tech,reel,germany,2145559,469691,78098,14666,medium
Post_386,twitter,#dance,post,australia,2064776,387203,7684,5608,low
Post_387,youtube,#viral,post,australia,354702,364531,95192,539,high
Post_388,instagram,#tech,post,japan,665740,389852,99285,3432,medium
Post_389,instagram,#fitness,shorts,japan,4582997,440332,73379,85,low
Post_390,youtube,#education,tweet,germany,1392163,267737,59937,27304,medium
Post_391,youtube,#dance,post,australia,2183312,333767,32881,29602,high
Post_392,instagram,#music,shorts,canada,2267018,137209,75303,31685,low
Post_393,twitter,#viral,tweet,brazil,1513659,130934,94962,3519,low
Post_394,twitter,#fashion,live stream,australia,3267376,243498,80458,44516,low
Post_395,tiktok,#challenge,shorts,usa,2127779,176918,38776,18345,low
Post_396,instagram,#fashion,live stream,canada,4151557,244562,87770,44396,low
Post_397,twitter,#gaming,reel,germany,360483,165482,18721,24681,high
Post_398,youtube,#challenge,shorts,usa,4987250,423644,6076,26739,medium
Post_399,youtube,#challenge,reel,australia,2612254,196077,21722,26238,high
