Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score
Twitter,#Education,Reel,India,4380015,355402,41860,42729,Medium,0.12932375802365972
YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,0.5119562855431712
Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Low,0.09511475841887392
YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Low,0.07555405341814146
Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Medium,0.1428352103203189
Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,1.7535609763262547
Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,0.35319393314865233
Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Low,0.0985725693074609
Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,Medium,0.13687359601898216
Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Medium,0.20710913651271495
YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,0.23355574495562176
YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Low,0.11212515950894711
YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,High,0.5972625842324263
Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,High,1.4079605033427895
Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,Medium,0.1838345844954417
YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,0.17822150037954343
Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,0.08976790717136467
Twitter,#Dance,Video,Australia,197986,184395,9408,7599,High,1.1506722697564473
YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,Medium,0.322301069478344
Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,0.030092129704873505
TikTok,#Music,Reel,USA,866896,122451,79602,25491,High,0.4755345508573116
YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,0.13138759932611124
TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Medium,0.13782092309608404
Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,0.3762020262164742
YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Medium,0.15302511355940937
TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,0.38332719632013
YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,Medium,0.11784098607397081
Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,0.4438452159864716
Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,0.9377038638047929
YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,0.1509700747226913
Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,High,0.8556080409881001
Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Medium,0.30717313011683445
TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Low,0.1114422272503761
TikTok,#Music,Post,India,3647159,216783,79133,7687,Medium,0.1287456894530784
YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,0.09653420794752315
Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,Medium,0.21366489847019182
Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Low,0.08531007900902914
Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,High,0.49183798731296746
Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Low,0.045974862262870314
Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,Medium,0.15578835584648498
Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Low,0.10222722614827401
Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,High,1.562808141249842
Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,0.06519709178926902
Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,Medium,0.11652531955808605
Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Low,0.033259457088780246
TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,0.38547321647016813
Twitter,#Gaming,Post,India,1908555,194688,34182,3500,Medium,0.15940541404360892
Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Low,0.061338158762294384
YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,Low,0.06213111227218244
YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,High,0.4413953119659176
TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,Medium,0.14162905180672716
Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,0.09962487133894855
Twitter,#Gaming,Post,UK,506074,69145,31191,43362,High,0.49289629579863814
YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,Medium,0.13431378657229726
TikTok,#Tech,Video,Germany,128472,444670,64311,7956,High,5.086828258297528
TikTok,#Music,Reel,India,1347102,274212,15298,28342,Medium,0.27970413524736804
TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,High,2.5871966118260303
TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Low,0.047975614121995996
Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,0.45134305902247807
YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Medium,0.20753289282461682
YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,Low,0.09943148026591128
TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,0.13651242533375887
Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,0.15972178810124998
Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,0.13876773928760597
Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,High,12.779825984368088
Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Medium,0.13022598071535477
YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,Medium,0.12442711149296608
TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,0.13244290885456436
Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,Medium,0.13111094687626704
Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Low,0.06601057850402284
Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,Medium,0.2552026643743217
Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,0.32832073161986136
TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,Medium,0.31452575128403604
YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Medium,0.32100718401024253
Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,Medium,0.2705510411027074
TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,Medium,0.1683820997979559
Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Medium,0.12002997503416273
TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,Medium,0.3126517829413515
YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Medium,0.20285176245013953
TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Medium,0.2703755959388996
Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,Medium,0.16674656796742765
YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Low,0.04535724643725723
TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Medium,0.1179894005962515
Instagram,#Music,Post,USA,4646060,21362,31562,19778,Low,0.03349160363835164
YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,0.04174248443066199
Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,High,0.6271965426961025
TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium,0.15977866845019975
Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,0.12490986320054893
Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,0.7584265188132353
Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Medium,0.3433015224639626
TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,0.058389010306720564
YouTube,#Education,Video,India,3487375,107303,83451,45313,Medium,0.12854424889780997
TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,Medium,0.16800423764011882
YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,0.4501529102305882
TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,0.5141423003188569
TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Medium,0.25577274151210394
Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,High,0.39197064762127254
Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Low,0.06012773969567034
Instagram,#Music,Video,India,3488909,443844,19877,22056,Medium,0.1569507831817912
TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,0.3102086801465086
TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,1.0736269987654792
YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,0.034393026453112686
Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,0.08682931156641722
Twitter,#Comedy,Shorts,India,50082,70708,277,25036,High,2.4282376901880913
Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,0.08130231920727955
Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,0.5111073325190928
TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,High,0.6787872316369986
TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,0.0780077169263901
Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Medium,0.15175434932921256
Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,0.02460060090503736
Twitter,#Education,Reel,Germany,3529777,68367,38326,879,Low,0.05244042329019652
Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,0.03402573821565499
TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,0.24811643461731617
Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,High,9.368734938292642
Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium,0.14259918465872506
YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Low,0.08796489152312524
Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Medium,0.2743530549127056
YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,Low,0.11167052849115576
TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High,0.47951784997994384
Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Low,0.021022933171084928
Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,High,0.8364683435558308
Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,Medium,0.16296973683306443
TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,High,4.3379874631412445
Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,Medium,0.14866867156772748
TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low,0.0777854814868273
YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,Medium,0.22438776485910933
Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,Low,0.07059553146085422
YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,Medium,0.26687891837992533
YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,Medium,0.16818399502833556
Twitter,#Education,Video,India,4459268,356292,52389,33857,Medium,0.13032923789285597
Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High,0.45984924724812754
Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium,0.12515600549496048
Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,Medium,0.23843548372210968
TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,Medium,0.17011981381450408
Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,Low,0.09832278861704091
YouTube,#Music,Post,UK,2126429,36274,51278,44234,Medium,0.13100649022375072
YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,Medium,0.2899921937159413
Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,Low,0.10982818309854683
Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,High,0.4171580145989245
Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,Low,0.101874908077199
Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,Medium,0.1599591601428856
Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low,0.022379318278391763
Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High,0.7817652166770321
Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Low,0.09717159478353088
Instagram,#Tech,Video,UK,3916842,292224,72417,38211,Medium,0.149584027132062
TikTok,#Dance,Reel,UK,798887,326922,87308,21689,High,0.7913810088285327
Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,High,0.7338946077255889
Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,Medium,0.15543956586087815
TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High,0.7845392749853016
TikTok,#Education,Reel,India,479620,337321,99486,26524,High,1.4361932363120804
YouTube,#Education,Reel,USA,4221739,291223,61415,44293,Medium,0.13360702781484124
Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,Low,0.10617473214745743
Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,Medium,0.1300189286658359
TikTok,#Education,Reel,India,2488223,177673,86535,39991,Medium,0.2078832966337824
YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,Medium,0.23166105085910285
YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,High,1.036359993877349
Instagram,#Fashion,Reel,India,907575,42770,5219,47956,Medium,0.1700564691623282
TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,Medium,0.15611124429609685
TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,Low,0.09254919825484725
Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,Medium,0.1963768603769298
YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,Medium,0.21459400292632955
YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,Medium,0.16537823089547227
YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,High,0.5224498208062239
Twitter,#Dance,Post,UK,4459224,957,54290,47674,Low,0.05812109909706263
Instagram,#Viral,Post,USA,741152,226355,58251,46227,High,0.6659389706834765
Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,Medium,0.19564888181430484
Twitter,#Music,Post,Canada,2302342,153529,52488,41257,Medium,0.1709159629629308
YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,High,0.8553192576304883
Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,Medium,0.24522337801206232
TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,Low,0.09062727310092729
TikTok,#Fitness,Shorts,India,1580449,299597,35471,1908,Medium,0.25930985435151654
Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,Low,0.07251511081262592
Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411,Low,0.08009418504224375
Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,Low,0.08594655545379629
Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816,Medium,0.3238149301201388
TikTok,#Fitness,Post,USA,4497673,460735,96637,47633,Medium,0.1880777015136494
YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242,High,0.3909726404023191
YouTube,#Viral,Tweet,USA,3115115,81186,14964,1885,Low,0.04168321233726524
Twitter,#Dance,Tweet,India,89968,450376,40577,19844,High,6.800140049795483
TikTok,#Dance,Tweet,Japan,2177828,478703,86167,17109,Medium,0.35421621909535556
Twitter,#Viral,Shorts,India,306511,404600,32664,35337,High,1.8702950301946748
Instagram,#Music,Reel,UK,4422912,199110,95413,32057,Medium,0.12423104958904903
Instagram,#Tech,Post,UK,4326885,300734,1870,1496,Low,0.07149161579288564
YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363,Low,0.04696810893507679
YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925,Medium,0.19772957549920184
Instagram,#Education,Video,USA,2710672,252420,23167,5670,Medium,0.12294405224977423
TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,Medium,0.15535335418214624
YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135,Medium,0.170898462428631
Twitter,#Viral,Shorts,USA,2184148,326178,46185,1902,Medium,0.2145170565364618
Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,Medium,0.21761720960526176
Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,Medium,0.11838666292141102
YouTube,#Challenge,Reel,Japan,3267055,133930,81976,22080,Medium,0.12978599992960022
TikTok,#Fitness,Post,Canada,2095875,78244,43598,16006,Medium,0.1150116299874754
YouTube,#Education,Shorts,USA,1465227,158579,8809,33511,Medium,0.1720061123634768
YouTube,#Viral,Reel,Japan,1715566,326676,69635,19235,Medium,0.3346131830544555
Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,Low,0.06123787799019132
YouTube,#Challenge,Tweet,UK,1091635,198291,5604,31314,Medium,0.25441745638423097
TikTok,#Dance,Reel,UK,1111002,266261,22269,39363,Medium,0.37065099792799655
YouTube,#Comedy,Post,Japan,869375,123390,59716,46989,High,0.4560931703810209
Twitter,#Gaming,Video,Japan,2551247,384714,36284,18974,Medium,0.208334982853483
YouTube,#Viral,Shorts,India,920528,400658,58158,26810,High,0.6830340847861227
YouTube,#Viral,Shorts,Japan,2846948,55585,27235,29699,Low,0.06908731736582474
Instagram,#Fashion,Shorts,UK,2801638,111973,60593,35663,Medium,0.1303087693699186
TikTok,#Dance,Video,Canada,1556267,56055,12612,20474,Low,0.0866425876793635
TikTok,#Viral,Post,Brazil,1828433,126683,82181,48618,Medium,0.2573033849203116
YouTube,#Dance,Post,UK,3988715,211316,4804,33837,Low,0.07355802557966663
TikTok,#Fashion,Video,Canada,3290858,250085,41283,20251,Medium,0.12593554629218276
YouTube,#Viral,Tweet,USA,3703315,449350,54600,26510,Medium,0.17988477890754634
TikTok,#Education,Post,Canada,506215,303740,98918,36904,High,1.332046660016001
YouTube,#Fitness,Post,Canada,762333,406861,79834,13785,High,0.8840401766682014
Twitter,#Dance,Post,Brazil,3252738,420498,5811,2661,Medium,0.13627073560797087
Instagram,#Fashion,Tweet,Germany,4080585,203708,22677,23693,Low,0.07820569844764905
TikTok,#Comedy,Tweet,Germany,1450112,409512,91982,9118,High,0.4852687240709683
Twitter,#Gaming,Post,UK,2512592,418988,4122,18706,Medium,0.18656670084120303
TikTok,#Fitness,Video,Japan,3714148,291659,27722,28024,Medium,0.11600857047161287
Twitter,#Challenge,Tweet,USA,2276898,337038,56049,13735,Medium,0.2339388940567386
YouTube,#Challenge,Shorts,Australia,342675,493624,4168,35727,High,1.685509593638287
Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,Medium,0.20787621138959092
Instagram,#Comedy,Tweet,USA,893271,69359,66059,43386,High,0.39664110891319654
YouTube,#Dance,Post,Japan,2061951,381908,33698,25476,Medium,0.25895571718241606
Twitter,#Music,Reel,Canada,3823345,32222,64447,44453,Low,0.08224970542810027
Twitter,#Fitness,Live Stream,USA,4330038,118835,19134,27781,Low,0.05353278654829357
YouTube,#Fitness,Video,Canada,2714016,86422,85827,36320,Medium,0.15347846143869454
Instagram,#Music,Tweet,Canada,4588770,448601,52948,32818,Medium,0.14668004715860677
Instagram,#Tech,Video,Canada,485489,265199,14446,34447,High,0.777424411263695
YouTube,#Education,Post,UK,2688752,472554,2742,14495,Medium,0.18959353633209758
YouTube,#Comedy,Post,Brazil,2417512,154294,98184,18043,Medium,0.20059135176991882
TikTok,#Comedy,Tweet,Japan,1612356,488560,75088,11999,High,0.45760489618917904
Instagram,#Dance,Shorts,Japan,242459,366128,20712,22677,High,1.95339418210914
Twitter,#Dance,Live Stream,UK,4041579,326486,69020,47705,Medium,0.1556213549209356
Twitter,#Dance,Post,Canada,2214561,156292,18753,3643,Low,0.09926888444255995
YouTube,#Dance,Post,UK,2524440,262085,98352,37571,Medium,0.25046465750819985
Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120,Low,0.09244624688491576
YouTube,#Tech,Live Stream,UK,1093553,43035,52724,29091,Medium,0.23719837995963616
Twitter,#Music,Tweet,Australia,2860355,157614,70326,47778,Medium,0.16226936866228142
Twitter,#Fitness,Video,USA,4643597,200851,87149,35230,Low,0.11472959432095421
Twitter,#Challenge,Reel,Brazil,4889936,142520,56142,26214,Low,0.07431058402400359
TikTok,#Education,Reel,Japan,1483481,353517,41615,11414,Medium,0.33784726599127324
Instagram,#Dance,Tweet,Germany,734933,421895,50675,12150,High,0.813978961347497
YouTube,#Fashion,Reel,Japan,4485712,464196,67958,45876,Medium,0.16938715637562107
Twitter,#Comedy,Shorts,UK,1165962,105888,48384,47511,Medium,0.2968038409485043
Twitter,#Gaming,Tweet,India,791211,251591,9900,36509,High,0.44780595820836666
YouTube,#Dance,Post,UK,755921,275570,36739,37643,High,0.6099486586561295
Instagram,#Fitness,Tweet,India,1966067,136472,63614,18304,Medium,0.18510152502432523
Twitter,#Fashion,Tweet,Germany,3275624,455318,72364,39134,Medium,0.22917099154237483
Twitter,#Comedy,Live Stream,India,4914869,200375,2393,37178,Low,0.05735859897791783
Twitter,#Music,Tweet,Japan,694970,180020,88660,5645,High,0.6579996258831317
YouTube,#Comedy,Tweet,Australia,2507996,317525,50404,25462,Medium,0.2072016861270911
Twitter,#Dance,Reel,USA,2122512,277831,95870,1487,Medium,0.2678029617735966
Twitter,#Dance,Reel,USA,4445772,159466,75212,24528,Low,0.09765638003928227
Instagram,#Education,Video,UK,495496,300566,97031,48197,High,1.388614640683275
TikTok,#Challenge,Post,Germany,1035819,94853,68842,31836,Medium,0.35242740285706287
Twitter,#Comedy,Tweet,USA,424447,50456,76836,13951,High,0.7276903830160185
TikTok,#Gaming,Shorts,Germany,3949831,495150,7915,2858,Medium,0.1328185940107311
Instagram,#Tech,Reel,Canada,70424,392371,44740,10705,High,7.781452345791208
TikTok,#Fitness,Live Stream,India,4820393,44861,86973,46410,Low,0.08269035325542959
TikTok,#Fashion,Reel,Canada,864256,437954,60063,46333,High,0.822451912396327
Instagram,#Comedy,Reel,Germany,1853392,232747,87334,27858,Medium,0.2970040876403912
Twitter,#Challenge,Live Stream,Germany,4700334,65555,32126,13215,Low,0.04007438620319322
TikTok,#Education,Video,Brazil,4412697,108323,25130,6295,Low,0.0444859458965798
Instagram,#Education,Live Stream,Brazil,340950,127995,30856,14353,High,0.7311013345065259
TikTok,#Tech,Tweet,Japan,3763770,75074,87283,26590,Low,0.10364687534041665
Twitter,#Dance,Tweet,Japan,394485,373829,36151,12167,High,1.2842465492984525
Twitter,#Viral,Live Stream,Australia,4250412,138828,47483,35614,Low,0.08293431319128593
Twitter,#Tech,Reel,UK,1722013,357734,70729,37238,High,0.37421146065680105
Twitter,#Comedy,Video,Brazil,1359747,471796,85070,14073,High,0.5553621372211154
YouTube,#Comedy,Tweet,Germany,3205182,109645,57308,13223,Low,0.09609906707325824
Instagram,#Education,Video,India,1333000,426321,26174,27048,High,0.4193090772693173
Instagram,#Challenge,Post,UK,543708,19494,13359,8753,Medium,0.14176175447114994
TikTok,#Fitness,Shorts,Australia,2337694,429342,49196,28304,Medium,0.2710098071005016
TikTok,#Comedy,Shorts,Brazil,1423060,44643,79715,20950,Medium,0.22886455947043693
Twitter,#Comedy,Live Stream,Brazil,70463,81866,70328,42489,High,5.362076550813902
TikTok,#Dance,Post,Brazil,245443,457409,42668,8442,High,2.4539180176252735
TikTok,#Education,Tweet,Japan,2243003,67157,46609,10189,Low,0.10136500040347694
YouTube,#Comedy,Post,India,567506,90799,30845,11229,Medium,0.36262524096661536
YouTube,#Music,Post,Japan,1345248,10364,16629,34324,Low,0.09581802017174529
Instagram,#Dance,Video,Canada,567122,489613,6414,13429,High,0.9446168549271585
Twitter,#Fitness,Video,UK,4719001,143216,93614,38476,Low,0.1061686573069173
TikTok,#Gaming,Tweet,UK,1357286,485410,96395,177,High,0.5709548319219383
Twitter,#Fashion,Tweet,India,2298278,202870,25710,3153,Medium,0.12457413768047207
TikTok,#Challenge,Post,Brazil,436487,440596,28677,23094,High,1.31233003502968
YouTube,#Fashion,Post,Brazil,2824208,151603,30104,8914,Low,0.09197020899310532
