Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,0.12426331235280876
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,0.7883613217916259
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Medium,0.0540441971534658
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Medium,0.057610213171109065
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,High,0.21715320386868164
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,High,0.1040137081468305
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,0.06828483456039357
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,High,0.18994328728705273
Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,0.09647446092233994
YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,0.011908937891340886
YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,0.036779748365024754
YouTube,#Education,Tweet,UK,936390,368646,92202,2016,High,0.4943068593214366
TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,Medium,0.09973994986517914
Instagram,#Music,Reel,Germany,48908,205884,37256,14618,High,5.270262533736812
Instagram,#Dance,Video,India,1367820,10794,7617,36639,Low,0.04024652366539457
TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,0.13349171518027547
Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Medium,0.082187759742484
Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,0.1004542221887368
YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,0.45967595757874485
Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Low,0.04207732958908716
YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,0.056601877595516985
Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,High,0.11438936367828106
Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,1.2773981279858406
Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,High,0.25863169018089194
Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,0.06069393548701972
Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,Medium,0.09260782436246552
Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,High,0.17650743070426103
YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,High,0.1545454894865347
YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,0.0857292514392334
YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,High,0.4392046249585742
Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,High,1.0727920129888335
Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,0.1457652741169578
YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,High,0.12822164015114648
Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,0.04145187406763905
Twitter,#Dance,Video,Australia,197986,184395,9408,7599,High,1.017253745214308
YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,0.24639503275378347
Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,0.020271598404004117
TikTok,#Music,Reel,USA,866896,122451,79602,25491,High,0.26248131263727137
YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,0.09872567781734107
TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Medium,0.07608590777188488
Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,0.24951008292251517
YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,High,0.13231384389298054
TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,0.15686556434219986
YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,Medium,0.09704277057451298
Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,0.21064437348069634
Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,0.7046599160558276
YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,High,0.11894728100118611
Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,High,0.3847663092985775
Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,High,0.14323368089477995
TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,0.061157389463913886
TikTok,#Music,Post,India,3647159,216783,79133,7687,Medium,0.08324369735457104
YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Medium,0.0838486833647124
Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,0.12818023468452194
Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Low,0.040153966313192076
Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,High,0.32984325670835823
Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Low,0.04277031741156575
Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,Medium,0.09566875300721933
Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,0.06799976601389048
Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,High,1.336518337476999
Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Medium,0.05563956439809725
Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,Medium,0.055690207759888394
Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Low,0.02832473509318987
TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,0.17910679688688166
Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,0.12175179651621253
Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Low,0.027500846542706577
YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,Medium,0.05291428220180103
YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,High,0.23860404020945195
TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,Medium,0.0607390502940402
Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,0.046570210015560845
Twitter,#Gaming,Post,UK,506074,69145,31191,43362,High,0.2839466165027249
YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,Medium,0.08593461845187658
TikTok,#Tech,Video,Germany,128472,444670,64311,7956,High,4.023732797808083
TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,0.2359524371576911
TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,High,2.2223380572297335
TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Low,0.03432074006852024
Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,0.34177829034694784
YouTube,#Education,Post,Canada,3096420,364521,73308,29082,High,0.1507905904237797
YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,Low,0.034926554269661764
TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,0.06011927040225312
Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,High,0.12475806249469618
Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,0.09391704701898608
Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,High,5.572998082878631
Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Medium,0.09741743237602792
YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,Medium,0.05934879506616873
TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,High,0.10246625844089371
Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,0.10766055079962643
Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,0.05672472703990836
Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,0.2004283051636553
Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,High,0.21989417469349928
TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,0.22300245616886125
YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,High,0.12846432889963724
Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,0.24406928431300226
TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,0.12171287135599056
Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Medium,0.09950348840471104
TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,0.21396166462612376
YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,High,0.16297057161933132
TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,High,0.22847949056285516
Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,Medium,0.0877159297432089
YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Low,0.02101549915133891
TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Medium,0.09114839955221253
Instagram,#Music,Post,USA,4646060,21362,31562,19778,Low,0.015648097527797746
YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,0.019526384581870372
Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,High,0.4436644677421199
TikTok,#Education,Video,Germany,3859007,277223,81798,46985,High,0.1052099672273204
Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,0.06952137001159432
Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,0.5549982127037906
Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,High,0.29946415818705335
TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,0.0383138207640853
YouTube,#Education,Video,India,3487375,107303,83451,45313,Medium,0.06769188859815764
TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High,0.1174643538651794
YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,0.3168655983019448
TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,0.3191437060017716
TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,High,0.21773789333823038
Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,High,0.24412827273182372
Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Low,0.03457557948547069
Instagram,#Music,Video,India,3488909,443844,19877,22056,High,0.1392346432652729
TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,High,0.20332426454182095
TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,0.8359436167062045
YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,0.024414054243326405
Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,0.04610482156801636
Twitter,#Comedy,Shorts,India,50082,70708,277,25036,High,1.9172756679046363
Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,0.04237054783135022
Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,0.31716602833805774
TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,High,0.6111264650829743
TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,0.04163407411838602
Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,High,0.11129518514909224
Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,0.020861820353812146
Twitter,#Education,Reel,Germany,3529777,68367,38326,879,Low,0.03047557961876912
Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,0.017107139513669208
TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,High,0.18594732136843767
Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,High,8.48903385993525
Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,High,0.11338733222478002
YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium,0.05732430074644547
Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,High,0.2431552445911924
YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,Medium,0.09885830425104326
TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High,0.42287123947051747
Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Low,0.008089373585511955
Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,High,0.4140785767086888
Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High,0.12590143311077423
TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,High,2.23312308383292
Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,High,0.12239613024162012
TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Medium,0.05181445974733266
YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,High,0.15873774756122072
Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,Low,0.04601541423594942
YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,High,0.19313780527541033
YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,High,0.10781703270240577
Twitter,#Education,Video,India,4459268,356292,52389,33857,Medium,0.09924005464574007
Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High,0.3413456378781774
Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium,0.09804873698715648
Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High,0.1630803902808621
TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,High,0.14808391276864727
Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,Low,0.038603568564969624
YouTube,#Music,Post,UK,2126429,36274,51278,44234,Medium,0.06197526463380625
YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,High,0.21446827195892693
Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,Medium,0.062441346673167426
Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,High,0.367444661651166
Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,Medium,0.09210342483645156
Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,High,0.11212668976255771
Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low,0.012280571591160886
Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High,0.46332243983149296
Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Medium,0.052805734939635585
Instagram,#Tech,Video,UK,3916842,292224,72417,38211,High,0.10285122555364755
TikTok,#Dance,Reel,UK,798887,326922,87308,21689,High,0.5456578965485732
Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,High,0.48650950402353227
Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,High,0.14815326426574577
TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High,0.43429403284392293
TikTok,#Education,Reel,India,479620,337321,99486,26524,High,0.9660376965097369
YouTube,#Education,Reel,USA,4221739,291223,61415,44293,Medium,0.09402073410980641
Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,Medium,0.0859335948057442
Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,Medium,0.08546929874249462
TikTok,#Education,Reel,India,2488223,177673,86535,39991,High,0.12225552130978615
YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,High,0.1657779272953167
YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,High,0.9583254549219812
Instagram,#Fashion,Reel,India,907575,42770,5219,47956,High,0.10571578106492577
TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,High,0.1079126224533494
TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,Medium,0.05479079487925794
Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,High,0.1473596295708024
YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,High,0.17200580806242485
YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,High,0.12127080058114541
YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,High,0.25522401690246527
Twitter,#Dance,Post,UK,4459224,957,54290,47674,Low,0.023080473194439212
Instagram,#Viral,Post,USA,741152,226355,58251,46227,High,0.44637672164414316
Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,High,0.14907026112277633
Twitter,#Music,Post,Canada,2302342,153529,52488,41257,High,0.10740107247315994
YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,High,0.7108726609379025
Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,High,0.16915915711396645
TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,Medium,0.08438844181559228
TikTok,#Fitness,Shorts,India,1580449,299597,35471,1908,High,0.213215358420297
Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,Low,0.03484721289456011
Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411,Medium,0.07384554713922159
Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,Medium,0.06073715672752993
Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816,High,0.2356221806419796
TikTok,#Fitness,Post,USA,4497673,460735,96637,47633,High,0.1345151148160393
YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242,High,0.3531677714950122
YouTube,#Viral,Tweet,USA,3115115,81186,14964,1885,Low,0.03147074827093061
Twitter,#Dance,Tweet,India,89968,450376,40577,19844,High,5.677540903432331
TikTok,#Dance,Tweet,Japan,2177828,478703,86167,17109,High,0.2672290924719491
Twitter,#Viral,Shorts,India,306511,404600,32664,35337,High,1.5418728854755621
Instagram,#Music,Reel,UK,4422912,199110,95413,32057,Medium,0.0738382314637958
Instagram,#Tech,Post,UK,4326885,300734,1870,1496,Medium,0.07028150736615371
YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363,Low,0.03012851938567649
YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925,High,0.16472784856508343
Instagram,#Education,Video,USA,2710672,252420,23167,5670,High,0.10375914164458112
TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,High,0.11510726919280335
YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135,High,0.15467504233213925
Twitter,#Viral,Shorts,USA,2184148,326178,46185,1902,High,0.17135514626298218
Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,High,0.1718831747760445
Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,High,0.10689930036888289
YouTube,#Challenge,Reel,Japan,3267055,133930,81976,22080,Medium,0.07284419760304005
TikTok,#Fitness,Post,Canada,2095875,78244,43598,16006,Medium,0.0657710979900996
YouTube,#Education,Shorts,USA,1465227,158579,8809,33511,High,0.1371111779949455
YouTube,#Viral,Reel,Japan,1715566,326676,69635,19235,High,0.24222093466529412
Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,Low,0.039613803168484125
YouTube,#Challenge,Tweet,UK,1091635,198291,5604,31314,High,0.21546487608037485
TikTok,#Dance,Reel,UK,1111002,266261,22269,39363,High,0.29513268202937526
YouTube,#Comedy,Post,Japan,869375,123390,59716,46989,High,0.264667145938174
Twitter,#Gaming,Video,Japan,2551247,384714,36284,18974,High,0.17245370597202075
YouTube,#Viral,Shorts,India,920528,400658,58158,26810,High,0.5275515790937375
YouTube,#Viral,Shorts,Japan,2846948,55585,27235,29699,Low,0.0395226748082508
Instagram,#Fashion,Shorts,UK,2801638,111973,60593,35663,Medium,0.0743240204480379
TikTok,#Dance,Video,Canada,1556267,56055,12612,20474,Medium,0.05727873173433608
TikTok,#Viral,Post,Brazil,1828433,126683,82181,48618,High,0.1408211293495578
YouTube,#Dance,Post,UK,3988715,211316,4804,33837,Medium,0.0626660465839249
TikTok,#Fashion,Video,Canada,3290858,250085,41283,20251,Medium,0.09469232643888008
YouTube,#Viral,Tweet,USA,3703315,449350,54600,26510,High,0.14323923295749888
TikTok,#Education,Post,Canada,506215,303740,98918,36904,High,0.8683306500202483
YouTube,#Fitness,Post,Canada,762333,406861,79834,13785,High,0.6565109997861827
Twitter,#Dance,Post,Brazil,3252738,420498,5811,2661,High,0.13187966568472467
Instagram,#Fashion,Tweet,Germany,4080585,203708,22677,23693,Medium,0.06128484028638051
TikTok,#Comedy,Tweet,Germany,1450112,409512,91982,9118,High,0.3521190087386354
Twitter,#Gaming,Post,UK,2512592,418988,4122,18706,High,0.17584072543413334
TikTok,#Fitness,Video,Japan,3714148,291659,27722,28024,Medium,0.09353558339624592
Twitter,#Challenge,Tweet,USA,2276898,337038,56049,13735,High,0.17867379215054868
YouTube,#Challenge,Shorts,Australia,342675,493624,4168,35727,High,1.556924199314219
Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,High,0.12215907664296675
Instagram,#Comedy,Tweet,USA,893271,69359,66059,43386,High,0.2001676982684986
YouTube,#Dance,Post,Japan,2061951,381908,33698,25476,High,0.2139148796455396
Twitter,#Music,Reel,Canada,3823345,32222,64447,44453,Low,0.0369106109963919
Twitter,#Fitness,Live Stream,USA,4330038,118835,19134,27781,Low,0.03827910979072239
YouTube,#Fitness,Video,Canada,2714016,86422,85827,36320,Medium,0.07684884687488946
Instagram,#Music,Tweet,Canada,4588770,448601,52948,32818,High,0.11645103154004233
Instagram,#Tech,Video,Canada,485489,265199,14446,34447,High,0.6469600753055167
YouTube,#Education,Post,UK,2688752,472554,2742,14495,High,0.18216295143620534
YouTube,#Comedy,Post,Brazil,2417512,154294,98184,18043,High,0.11190058208604549
TikTok,#Comedy,Tweet,Japan,1612356,488560,75088,11999,High,0.35702227051594065
Instagram,#Dance,Shorts,Japan,242459,366128,20712,22677,High,1.6890154624080773
Twitter,#Dance,Live Stream,UK,4041579,326486,69020,47705,High,0.10966283227421758
Twitter,#Dance,Post,Canada,2214561,156292,18753,3643,Medium,0.08068777513918109
YouTube,#Dance,Post,UK,2524440,262085,98352,37571,High,0.1576618972920727
Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120,Medium,0.08086707348476228
YouTube,#Tech,Live Stream,UK,1093553,43035,52724,29091,High,0.1141691349207583
Twitter,#Music,Tweet,Australia,2860355,157614,70326,47778,Medium,0.0963929302481685
Twitter,#Fitness,Video,USA,4643597,200851,87149,35230,Medium,0.06960767697972067
Twitter,#Challenge,Reel,Brazil,4889936,142520,56142,26214,Low,0.0459875139470128
TikTok,#Education,Reel,Japan,1483481,353517,41615,11414,High,0.2740486733567872
Instagram,#Dance,Tweet,Germany,734933,421895,50675,12150,High,0.6595431148145477
YouTube,#Fashion,Reel,Japan,4485712,464196,67958,45876,High,0.12886025674407986
Twitter,#Comedy,Shorts,UK,1165962,105888,48384,47511,High,0.17306138622013412
Twitter,#Gaming,Tweet,India,791211,251591,9900,36509,High,0.3766378374415927
YouTube,#Dance,Post,UK,755921,275570,36739,37643,High,0.4629478477248284
Instagram,#Fitness,Tweet,India,1966067,136472,63614,18304,High,0.11107963258627504
Twitter,#Fashion,Tweet,Germany,3275624,455318,72364,39134,High,0.17304061760446254
Twitter,#Comedy,Live Stream,India,4914869,200375,2393,37178,Low,0.048820426343001204
Twitter,#Music,Tweet,Japan,694970,180020,88660,5645,High,0.3947292688893046
YouTube,#Comedy,Tweet,Australia,2507996,317525,50404,25462,High,0.15685471587673983
Twitter,#Dance,Reel,USA,2122512,277831,95870,1487,High,0.17676602063969485
Twitter,#Dance,Reel,USA,4445772,159466,75212,24528,Medium,0.05830393461473058
Instagram,#Education,Video,UK,495496,300566,97031,48197,High,0.8996924294040719
TikTok,#Challenge,Post,Germany,1035819,94853,68842,31836,High,0.18876946648014759
Twitter,#Comedy,Tweet,USA,424447,50456,76836,13951,High,0.3327694623828181
TikTok,#Gaming,Shorts,Germany,3949831,495150,7915,2858,High,0.12808725234066975
Instagram,#Tech,Reel,Canada,70424,392371,44740,10705,High,6.358854935817335
TikTok,#Fitness,Live Stream,India,4820393,44861,86973,46410,Low,0.03697706805233515
TikTok,#Fashion,Reel,Canada,864256,437954,60063,46333,High,0.6298481005627962
Instagram,#Comedy,Reel,Germany,1853392,232747,87334,27858,High,0.1877309279418493
Twitter,#Challenge,Live Stream,Germany,4700334,65555,32126,13215,Low,0.023593216992664777
TikTok,#Education,Video,Brazil,4412697,108323,25130,6295,Low,0.03166952093017037
Instagram,#Education,Live Stream,Brazil,340950,127995,30856,14353,High,0.5080041061739258
TikTok,#Tech,Tweet,Japan,3763770,75074,87283,26590,Medium,0.050201526660768325
Twitter,#Dance,Tweet,Japan,394485,373829,36151,12167,High,1.0701218043778598
Twitter,#Viral,Live Stream,Australia,4250412,138828,47483,35614,Medium,0.05221258550935768
Twitter,#Tech,Reel,UK,1722013,357734,70729,37238,High,0.27043988634232147
Twitter,#Comedy,Video,Brazil,1359747,471796,85070,14073,High,0.41988619941797994
YouTube,#Comedy,Tweet,Germany,3205182,109645,57308,13223,Medium,0.05621396850475262
Instagram,#Education,Video,India,1333000,426321,26174,27048,High,0.35974718679669915
Instagram,#Challenge,Post,UK,543708,19494,13359,8753,Medium,0.07652269232749932
TikTok,#Fitness,Shorts,Australia,2337694,429342,49196,28304,High,0.21681280783541387
TikTok,#Comedy,Shorts,Brazil,1423060,44643,79715,20950,High,0.10210953859991849
Twitter,#Comedy,Live Stream,Brazil,70463,81866,70328,42489,High,2.7629110313214027
TikTok,#Dance,Post,Brazil,245443,457409,42668,8442,High,2.0718415273607316
TikTok,#Education,Tweet,Japan,2243003,67157,46609,10189,Medium,0.05526296665675436
YouTube,#Comedy,Post,India,567506,90799,30845,11229,High,0.23413496949811985
YouTube,#Music,Post,Japan,1345248,10364,16629,34324,Low,0.04558044315992293
Instagram,#Dance,Video,Canada,567122,489613,6414,13429,High,0.8983181749253247
Twitter,#Fitness,Video,UK,4719001,143216,93614,38476,Medium,0.05833989015895525
TikTok,#Gaming,Tweet,UK,1357286,485410,96395,177,High,0.42878361671747883
Twitter,#Fashion,Tweet,India,2298278,202870,25710,3153,High,0.10082896847117712
TikTok,#Challenge,Post,Brazil,436487,440596,28677,23094,High,1.128022140407389
YouTube,#Fashion,Post,Brazil,2824208,151603,30104,8914,Medium,0.06749538277633942
Twitter,#Gaming,Tweet,Germany,2517906,254149,3970,17586,High,0.10949773343405195
TikTok,#Challenge,Tweet,Japan,1070510,29674,53802,4514,Medium,0.0821944680572811
TikTok,#Comedy,Tweet,UK,3369227,130484,70848,12010,Medium,0.06332075576979526
TikTok,#Fitness,Video,USA,2580238,118495,10621,34440,Medium,0.06338795103397439
