Post_ID,Platform,Hashtag,Content_Type,Views,Likes,Shares,Comments,Engagement_Level
Post_661,TikTok,#Fashion,Live Stream,2592123,339087,52787,19591,Low
Post_1867,TikTok,#Tech,Reel,884967,49027,43339,27494,Low
Post_4888,YouTube,#Fitness,Reel,26676,395504,18871,20392,High
Post_1465,YouTube,#Fitness,Shorts,4995243,198754,50261,36892,Medium
Post_1838,YouTube,#Viral,Video,332886,473224,57891,14749,Medium
Post_4877,TikTok,#Music,Live Stream,2253650,180313,80998,43440,High
Post_2172,Instagram,#Viral,Video,933951,188820,89181,2551,High
Post_4502,TikTok,#Challenge,Shorts,3123791,288683,39757,32872,Medium
Post_3729,Twitter,#Gaming,Shorts,180512,402033,81295,28799,Low
Post_3978,TikTok,#Tech,Reel,3675898,424882,5868,47233,Medium
Post_2969,Twitter,#Dance,Tweet,2628041,30963,1657,17698,Medium
Post_3885,TikTok,#Dance,Shorts,2045438,167012,47179,49887,Low
Post_90,YouTube,#Fitness,Reel,1173157,137342,95328,47250,Low
Post_1989,TikTok,#Fashion,Tweet,1408093,364412,43196,35593,Medium
Post_1038,YouTube,#Comedy,Tweet,3464426,174304,3700,7670,High
Post_78,Twitter,#Challenge,Video,612594,132163,29340,40557,Medium
Post_3882,Instagram,#Fashion,Tweet,3209804,26530,39753,28986,Medium
Post_1201,TikTok,#Challenge,Reel,4486868,94546,72083,47825,Low
Post_3503,TikTok,#Fitness,Shorts,3408919,334245,59555,45940,Low
Post_3982,Twitter,#Music,Post,1776924,72352,86364,20563,Low
Post_4255,Twitter,#Dance,Video,3447523,43962,51838,30252,Low
Post_2019,Twitter,#Dance,Reel,3969775,405621,41978,26548,High
Post_3433,YouTube,#Fitness,Tweet,2706714,217585,40079,45339,Low
Post_3506,Instagram,#Music,Live Stream,3211977,47868,69676,23438,High
Post_4956,Instagram,#Music,Tweet,3587965,292099,62484,3435,High
Post_2559,YouTube,#Tech,Tweet,1628325,256374,7548,17955,High
Post_1847,YouTube,#Comedy,Video,4902986,245503,93608,25637,High
Post_466,Instagram,#Fashion,Post,4398342,308054,29831,3366,Medium
Post_4965,TikTok,#Fitness,Post,4813259,282065,40201,10672,Low
Post_1293,Instagram,#Dance,Post,3105914,310842,86059,25445,Low
Post_51,YouTube,#Dance,Post,2081426,225061,67840,28774,Medium
Post_15,Twitter,#Comedy,Post,2471790,370802,54110,17081,High
Post_1822,Instagram,#Fitness,Post,3927149,204604,48798,45548,High
Post_551,Instagram,#Challenge,Live Stream,4902801,457202,95950,35485,Medium
Post_3762,Twitter,#Dance,Reel,1982470,38772,59724,2247,Low
Post_115,Instagram,#Education,Tweet,1599554,364748,16705,8949,High
Post_1504,Twitter,#Gaming,Shorts,829927,186967,80175,49580,High
Post_4624,Instagram,#Dance,Video,1984418,214222,75144,10982,Low
Post_4566,Twitter,#Comedy,Live Stream,752438,199061,32859,21330,High
Post_3697,YouTube,#Tech,Tweet,4571746,377505,16732,26086,High
Post_13,YouTube,#Viral,Shorts,4105651,195560,37627,49089,High
Post_3618,Twitter,#Fitness,Video,1145112,347150,33144,42026,High
Post_3781,Twitter,#Viral,Video,1066350,103339,72555,6292,High
Post_2279,Twitter,#Gaming,Post,107075,175627,91997,26950,Low
Post_1932,YouTube,#Dance,Post,3619985,168202,97388,41760,Low
Post_993,Twitter,#Music,Post,3104601,401463,50057,4663,Low
Post_4506,TikTok,#Fashion,Tweet,3950220,5327,35256,46251,Low
Post_1978,YouTube,#Music,Live Stream,3952848,256180,92132,40687,High
Post_353,TikTok,#Comedy,Video,377149,207589,13408,15058,High
Post_927,Twitter,#Music,Post,4949423,17417,78926,33128,Low
Post_4931,TikTok,#Fitness,Video,4273210,219157,57767,31224,High
Post_2759,Instagram,#Music,Tweet,1602583,95273,33154,31607,High
Post_1397,Twitter,#Challenge,Reel,1687923,409229,27714,13106,Medium
Post_111,Twitter,#Viral,Tweet,2517364,418305,51641,34605,High
Post_3954,TikTok,#Viral,Post,2513082,208085,65223,2112,Low
Post_3257,YouTube,#Tech,Video,283090,227556,13764,23089,Low
Post_2564,TikTok,#Gaming,Tweet,2020483,136675,31661,39695,Low
Post_2739,YouTube,#Education,Video,131069,228706,29198,32033,High
Post_148,TikTok,#Comedy,Reel,4179125,94325,72341,7328,Low
Post_3427,Instagram,#Gaming,Post,2460263,108243,73742,33958,High
Post_796,Instagram,#Fitness,Shorts,4490630,166824,45589,4926,Low
Post_4658,Twitter,#Music,Shorts,1158983,361379,82699,10760,High
Post_3098,TikTok,#Comedy,Post,4632365,54486,64779,31302,High
Post_2892,YouTube,#Fitness,Post,2519050,180932,12968,12148,Low
Post_563,TikTok,#Viral,Video,2732458,330425,27066,37518,Medium
Post_1821,YouTube,#Fitness,Tweet,4430105,374616,59305,38022,Medium
Post_3986,YouTube,#Music,Live Stream,1550445,472372,85121,11599,Medium
Post_1292,YouTube,#Challenge,Post,2764814,67913,48844,32596,Low
Post_870,Twitter,#Education,Tweet,960449,475480,27053,23747,Medium
Post_4026,YouTube,#Fitness,Reel,1752782,343059,44339,20919,High
Post_2577,Twitter,#Fashion,Live Stream,3154154,51824,6624,33785,Medium
Post_3644,TikTok,#Challenge,Post,757286,460922,58039,46234,High
Post_653,TikTok,#Comedy,Tweet,277665,375796,86711,16520,High
Post_2910,YouTube,#Music,Shorts,2828967,490999,94153,16839,High
Post_5,TikTok,#Dance,Post,64866,171361,69581,6376,Medium
Post_2483,Twitter,#Fitness,Reel,1543219,36775,22461,12596,Low
Post_4637,YouTube,#Dance,Reel,686780,177626,13437,6268,Low
Post_4352,YouTube,#Comedy,Post,2245167,373576,11950,17147,Low
Post_815,Twitter,#Fashion,Video,208326,267436,52230,45110,Medium
Post_3258,Instagram,#Tech,Reel,276749,409709,41368,1705,Medium
Post_1194,Twitter,#Gaming,Post,950724,371343,52165,30174,Medium
Post_3845,Instagram,#Challenge,Shorts,1050906,57416,10271,31691,Low
Post_4569,TikTok,#Education,Reel,2813260,260597,64519,46775,High
Post_733,Twitter,#Fitness,Post,2285860,369389,2395,38701,Low
Post_277,Twitter,#Challenge,Reel,4889936,142520,56142,26214,High
Post_750,Twitter,#Gaming,Post,3575067,404847,77440,9922,Low
Post_843,Instagram,#Comedy,Reel,3545758,365667,98281,27784,High
Post_4629,YouTube,#Music,Shorts,4789012,74240,22761,43777,High
Post_3937,YouTube,#Music,Live Stream,4153771,162185,6853,26355,Medium
Post_3347,TikTok,#Comedy,Tweet,891861,222648,81518,14286,High
Post_3900,YouTube,#Viral,Post,2433851,51816,2532,22598,Low
Post_4588,TikTok,#Fitness,Live Stream,4292584,56812,1813,7614,Low
Post_197,Instagram,#Fashion,Reel,907575,42770,5219,47956,Low
Post_3228,TikTok,#Fashion,Reel,3998415,388913,45669,9024,Medium
Post_2381,TikTok,#Education,Post,2449143,142284,86663,26545,High
Post_418,TikTok,#Gaming,Shorts,775716,249033,82258,37351,Low
Post_1685,YouTube,#Comedy,Post,676397,5615,87186,1127,Low
Post_3233,Instagram,#Challenge,Live Stream,2940609,417021,8144,10445,Medium
Post_3304,YouTube,#Gaming,Reel,3697282,441786,26015,42533,Medium
Post_825,Instagram,#Gaming,Reel,102983,341704,82374,8883,Low
Post_790,YouTube,#Tech,Tweet,2302608,174419,24390,18624,High
Post_3686,Twitter,#Dance,Shorts,1884862,249922,29934,46886,Low
Post_2745,Instagram,#Fitness,Reel,731621,11172,59313,35492,Low
Post_1299,TikTok,#Dance,Reel,1296499,230354,67311,23584,Low
Post_2550,TikTok,#Challenge,Video,3499233,152081,83684,11191,High
Post_2078,Instagram,#Fitness,Post,356764,263855,20640,43357,Low
Post_1544,YouTube,#Challenge,Live Stream,4574924,197709,97880,18735,Medium
Post_1445,YouTube,#Challenge,Tweet,1149619,297330,86236,24425,Low
Post_473,TikTok,#Viral,Live Stream,3501632,326063,24819,11649,Low
Post_3691,Twitter,#Dance,Live Stream,4076095,196850,15677,45746,Medium
Post_754,YouTube,#Tech,Video,3620429,22477,23839,25541,Low
Post_2323,YouTube,#Music,Video,3464416,130550,75762,46478,Low
Post_2815,YouTube,#Viral,Shorts,2529356,62626,51604,9450,High
Post_2941,YouTube,#Comedy,Post,836115,492019,57301,31743,High
Post_3630,YouTube,#Education,Live Stream,3494576,237558,81164,28918,Low
Post_3767,Instagram,#Viral,Live Stream,1405081,174642,70414,820,Low
Post_2776,Twitter,#Dance,Live Stream,772421,247479,23789,12567,High
Post_625,Twitter,#Viral,Video,4318612,93657,95512,16193,High
Post_260,YouTube,#Dance,Post,2061951,381908,33698,25476,High
Post_2114,Instagram,#Challenge,Shorts,3692069,182095,72323,13292,Medium
Post_1640,Twitter,#Viral,Live Stream,2000395,191198,63578,6326,Medium
Post_4178,YouTube,#Challenge,Post,3193985,413403,86209,32528,Low
Post_2215,Instagram,#Fashion,Video,1136022,158575,56196,15648,High
Post_2824,Instagram,#Education,Shorts,4726108,458831,19832,13777,High
Post_2679,TikTok,#Gaming,Live Stream,168039,248372,76006,17287,High
Post_4707,TikTok,#Challenge,Shorts,1549672,2009,48438,13727,High
Post_772,Twitter,#Gaming,Shorts,4901634,164642,2903,23013,Medium
Post_3824,YouTube,#Challenge,Tweet,2422046,151082,35275,30849,Low
Post_547,Instagram,#Viral,Post,3647993,361442,26848,22650,High
Post_1962,YouTube,#Challenge,Post,4205174,326076,53467,16260,High
Post_2717,Twitter,#Comedy,Video,435830,288717,492,10374,Medium
Post_17,Twitter,#Dance,Reel,294870,213142,20351,20767,Low
Post_2661,TikTok,#Tech,Post,164014,242962,69777,28769,Low
Post_861,Instagram,#Dance,Tweet,224458,277150,61218,38779,Medium
Post_3286,Instagram,#Fashion,Post,97690,412823,75641,11702,Low
Post_923,Twitter,#Gaming,Shorts,2118152,13010,53774,35179,Medium
Post_4713,Instagram,#Gaming,Tweet,3007888,375087,4908,13091,Medium
Post_442,YouTube,#Education,Tweet,4649706,330323,14225,34904,High
Post_1526,TikTok,#Dance,Post,2252242,248785,7800,26183,Low
Post_2601,YouTube,#Tech,Live Stream,4999077,490971,6444,16296,Medium
Post_3639,TikTok,#Viral,Shorts,1647779,50877,74015,36438,Low
Post_2034,Instagram,#Viral,Reel,2015897,214072,93955,9393,High
Post_1360,Twitter,#Fashion,Live Stream,2578412,251504,84789,13528,Medium
Post_4722,Twitter,#Dance,Live Stream,4798367,198861,99656,30484,High
Post_2130,YouTube,#Music,Video,1152050,57749,49408,17292,Low
Post_338,Twitter,#Comedy,Reel,2676484,97672,26461,49856,High
Post_4363,TikTok,#Tech,Live Stream,4012898,181340,98327,31111,Low
Post_3933,TikTok,#Viral,Reel,3984874,115614,39890,37181,Medium
Post_2028,Twitter,#Education,Shorts,2231412,43911,38740,7543,High
Post_4212,Twitter,#Fitness,Shorts,2445074,339219,42119,49060,High
Post_170,Twitter,#Education,Video,4459268,356292,52389,33857,Low
Post_3340,Twitter,#Gaming,Tweet,2386028,156812,98830,38728,Low
Post_370,TikTok,#Viral,Tweet,4338397,139678,73551,14788,Medium
Post_1455,Instagram,#Challenge,Video,3262707,322516,95255,21585,High
Post_4972,Twitter,#Challenge,Shorts,3039791,115048,35046,6967,Medium
Post_2979,YouTube,#Challenge,Shorts,1211152,26691,74034,16591,High
Post_4205,Instagram,#Viral,Live Stream,897780,31613,86715,31460,Low
Post_1720,Twitter,#Viral,Video,4481057,435510,25727,7182,Low
Post_4794,Instagram,#Tech,Video,1986024,232499,19425,23352,Low
Post_4094,YouTube,#Gaming,Post,1245756,352809,22951,43886,Low
Post_4332,YouTube,#Gaming,Tweet,2224355,277794,58198,36236,High
Post_199,TikTok,#Comedy,Shorts,3982001,131915,64092,22170,Medium
Post_510,YouTube,#Tech,Live Stream,2335723,364476,67740,24847,Low
Post_4185,TikTok,#Fashion,Reel,3090316,352162,93570,19097,High
Post_1106,Twitter,#Challenge,Shorts,2040652,407996,11598,40259,Low
Post_3239,Twitter,#Fashion,Post,1912431,337274,36656,4315,Medium
Post_2119,Twitter,#Fitness,Post,1191790,18070,38513,39735,High
Post_2859,YouTube,#Comedy,Post,1178485,168174,81549,41849,Low
Post_3732,YouTube,#Viral,Tweet,348955,207516,90406,12674,High
Post_3549,YouTube,#Fashion,Shorts,3824879,459271,74779,46026,High
Post_921,Instagram,#Viral,Tweet,2888239,421574,35987,16821,Medium
Post_2706,TikTok,#Viral,Live Stream,3007477,237285,68950,21390,Low
Post_3670,Instagram,#Education,Post,1147497,407471,29168,7518,Medium
Post_3108,TikTok,#Music,Video,244108,178981,59828,38033,High
Post_2553,TikTok,#Tech,Live Stream,3658692,209387,89681,14453,Medium
Post_2555,Twitter,#Challenge,Video,674124,498332,88370,26302,Medium
Post_4982,Instagram,#Comedy,Reel,585134,202252,21758,37425,High
Post_3467,TikTok,#Dance,Post,702173,381320,60666,27650,High
Post_2890,Twitter,#Education,Reel,464125,483645,8641,4652,Medium
Post_1,TikTok,#Challenge,Video,4163464,339431,53135,19346,High
Post_1028,TikTok,#Music,Live Stream,1130376,138976,12325,30626,High
Post_1603,YouTube,#Tech,Live Stream,2695917,354316,26738,3079,High
Post_619,Instagram,#Comedy,Reel,3118393,322469,26532,6589,Low
Post_2256,TikTok,#Dance,Tweet,3614546,30253,6220,8336,Medium
Post_4263,YouTube,#Fitness,Live Stream,3856845,195911,46850,13291,Low
Post_178,Twitter,#Fashion,Video,3464211,115302,63150,37858,Medium
Post_4407,TikTok,#Challenge,Shorts,3734868,430185,97021,20606,Low
Post_3445,YouTube,#Viral,Tweet,2933029,398166,7891,14705,High
Post_2633,TikTok,#Education,Video,2050045,22490,29109,881,Medium
Post_3275,Instagram,#Tech,Post,384054,131704,17338,882,Low
Post_3405,Twitter,#Viral,Shorts,1376840,115191,51741,14750,Low
Post_4077,YouTube,#Music,Live Stream,850783,352600,91742,39257,Medium
Post_2270,TikTok,#Comedy,Live Stream,842016,244313,18044,22699,Low
Post_2819,YouTube,#Challenge,Shorts,685501,323225,86718,942,High
Post_2938,Twitter,#Comedy,Post,4674026,14183,71809,4162,Low
Post_4774,Twitter,#Fitness,Video,4019882,131670,67263,648,Low
Post_4398,Twitter,#Fashion,Video,4921777,99498,92717,22408,High
Post_4951,Instagram,#Education,Live Stream,3321787,219299,46726,35890,Low
Post_4645,Twitter,#Education,Post,868961,332677,526,46355,High
Post_1336,YouTube,#Fashion,Live Stream,4610463,425376,84697,14385,Medium
Post_2259,Instagram,#Fitness,Post,3336371,199406,96109,1573,Low
Post_2666,Instagram,#Comedy,Shorts,1691423,152626,11980,49620,Medium
Post_4721,Twitter,#Challenge,Live Stream,1476558,181352,24958,40761,High
Post_1037,Twitter,#Gaming,Tweet,3725275,304621,39355,21276,Medium
Post_376,YouTube,#Viral,Post,1850613,125819,12927,41305,Medium
Post_756,TikTok,#Education,Reel,4468711,355075,72834,22022,High
Post_1573,Twitter,#Tech,Tweet,2131247,184490,46526,35734,High
Post_3495,YouTube,#Tech,Tweet,713253,330560,24640,17612,Medium
Post_1435,TikTok,#Music,Live Stream,494177,74495,51341,20363,Medium
Post_4501,Instagram,#Challenge,Video,997524,304745,78986,38172,Low
Post_2591,YouTube,#Dance,Tweet,4658092,187743,97119,10070,High
Post_2211,Twitter,#Fitness,Post,2756985,167281,38374,11465,Low
Post_3172,Instagram,#Fashion,Tweet,652613,68913,48724,2520,High
Post_1666,YouTube,#Viral,Shorts,3774978,160349,37878,9591,High
Post_1385,Twitter,#Challenge,Shorts,3351844,109560,72783,24165,High
Post_4087,Instagram,#Fitness,Reel,357877,73393,93580,6671,High
Post_4009,YouTube,#Comedy,Post,721858,449162,91563,10392,High
Post_2054,Instagram,#Challenge,Reel,2889449,114404,51912,46965,Medium
Post_161,Twitter,#Gaming,Tweet,400424,56569,59897,49341,Medium
Post_4466,Instagram,#Gaming,Post,3567170,178506,37026,14997,Low
Post_3657,YouTube,#Viral,Reel,2574515,461003,72910,25274,High
Post_2352,TikTok,#Gaming,Post,296788,433928,54838,18371,Low
Post_291,Instagram,#Education,Video,495496,300566,97031,48197,Low
Post_394,Twitter,#Fashion,Live Stream,3267376,243498,80458,44516,Low
Post_522,TikTok,#Tech,Shorts,1372415,88595,23610,45790,Low
Post_58,Twitter,#Dance,Video,197986,184395,9408,7599,Medium
Post_1594,TikTok,#Comedy,Reel,4174343,92667,67770,33150,High
Post_1703,TikTok,#Dance,Shorts,2868762,109444,83287,38867,Medium
Post_2102,Twitter,#Viral,Post,2073534,409007,30389,40273,Low
Post_3249,YouTube,#Comedy,Reel,3909577,263896,18776,34022,Low
Post_4797,Instagram,#Education,Shorts,1085450,318761,68762,33987,Medium
Post_1206,YouTube,#Viral,Video,1538823,307662,59624,8124,Low
Post_4880,TikTok,#Tech,Post,997234,450870,54217,11793,Medium
Post_2207,YouTube,#Music,Live Stream,591859,475173,79780,15871,Low
Post_3083,YouTube,#Gaming,Post,704858,426448,3515,6655,High
Post_3485,Instagram,#Viral,Post,2043510,481273,53976,25707,Medium
Post_4222,YouTube,#Music,Live Stream,2421039,255993,48735,38037,Medium
Post_209,Twitter,#Comedy,Live Stream,2452099,320043,91765,2987,Low
Post_1024,Twitter,#Fashion,Live Stream,3379946,52964,78464,19620,Medium
Post_1507,Instagram,#Comedy,Tweet,1684045,237632,16203,33795,Low
Post_1590,Instagram,#Music,Reel,1586403,28598,85817,46074,Medium
Post_4912,YouTube,#Challenge,Tweet,4839723,73555,40353,34352,Low
Post_1706,YouTube,#Music,Video,2546025,61904,25135,39292,Medium
Post_1934,YouTube,#Challenge,Reel,2025937,218589,97104,34136,High
Post_3165,Twitter,#Fashion,Reel,1314532,324119,29318,7716,High
Post_4318,Instagram,#Fitness,Tweet,4447344,202595,89767,16312,Medium
Post_4647,YouTube,#Comedy,Video,4250935,11456,50483,36048,Low
Post_4385,TikTok,#Fashion,Tweet,2252723,348883,38959,6709,Low
Post_555,Twitter,#Fitness,Post,4303043,415815,78416,44101,Low
Post_4940,Twitter,#Music,Post,3376510,370259,23152,34473,Low
Post_3090,Instagram,#Fitness,Post,4548249,326779,68925,15219,Medium
Post_215,Twitter,#Gaming,Tweet,1516746,272088,48475,36816,Medium
Post_443,Twitter,#Viral,Post,1972112,80588,58508,27308,Medium
Post_1536,Twitter,#Music,Post,4894673,140903,8150,24491,Medium
Post_2147,TikTok,#Gaming,Tweet,1365873,210793,21826,38899,Low
Post_3528,Instagram,#Challenge,Reel,1473168,236845,44426,19742,Low
Post_3076,YouTube,#Gaming,Video,2488678,87494,30237,19414,Low
Post_60,Twitter,#Music,Live Stream,3525573,40967,4121,26381,Low
Post_3922,TikTok,#Education,Tweet,2599368,103502,74019,22948,High
Post_3685,Instagram,#Fashion,Live Stream,4375990,99936,80353,3006,Low
Post_128,Twitter,#Challenge,Shorts,3837223,140163,85932,40674,Medium
Post_3947,Instagram,#Music,Video,3356648,113463,87529,19511,High
Post_2502,Twitter,#Dance,Post,4087476,19388,12617,13668,High
Post_3227,YouTube,#Education,Post,2758264,432567,21030,35843,Medium
Post_1014,YouTube,#Challenge,Reel,1259550,444463,95640,40419,Low
Post_2686,YouTube,#Education,Live Stream,1618622,30778,25340,46218,Low
Post_2801,Instagram,#Music,Live Stream,1922920,346738,31025,28656,Low
Post_3611,TikTok,#Comedy,Tweet,1175841,337898,71459,29041,Low
Post_4558,YouTube,#Viral,Live Stream,2927977,443197,69420,23401,Medium
Post_2398,Instagram,#Comedy,Reel,267595,196017,71829,28958,Medium
Post_3146,TikTok,#Fitness,Tweet,1428672,39949,70314,15133,Low
Post_4285,YouTube,#Gaming,Live Stream,7810,277197,12486,422,Low
Post_2514,YouTube,#Fitness,Video,2694912,28836,90228,9577,Low
Post_2174,TikTok,#Viral,Post,257530,427342,76586,49730,High
Post_687,Twitter,#Education,Video,2143799,329574,47984,42889,Low
Post_2373,Instagram,#Viral,Reel,2674421,365369,78273,45815,High
Post_1045,Instagram,#Comedy,Tweet,2685008,312885,79634,27209,Medium
Post_2729,YouTube,#Comedy,Post,4713381,439146,82572,17212,High
Post_2856,TikTok,#Comedy,Live Stream,952111,156942,6001,23683,Medium
Post_4108,Instagram,#Tech,Live Stream,3088456,53845,23471,49774,High
Post_4955,TikTok,#Comedy,Shorts,564109,89703,86066,10073,Low
Post_1280,YouTube,#Tech,Video,1417619,261333,28832,33631,Medium
Post_4044,YouTube,#Education,Reel,3146159,128178,52353,48139,High
Post_1408,Instagram,#Gaming,Post,4096709,436110,99307,43672,Medium
Post_1852,Twitter,#Fitness,Reel,4966138,284880,79331,658,Low
Post_195,YouTube,#Dance,Live Stream,2809035,359231,78623,27822,Medium
Post_2511,Twitter,#Music,Video,1350342,347635,85096,4171,Medium
Post_1371,Instagram,#Challenge,Tweet,1180989,109429,18098,33218,Medium
Post_439,Twitter,#Comedy,Tweet,1263815,1401,29795,76,High
Post_1979,YouTube,#Music,Shorts,4791590,490632,87681,35110,Medium
Post_4849,YouTube,#Challenge,Post,3405967,397972,27387,757,High
Post_1509,YouTube,#Fitness,Live Stream,3822229,385332,48139,6985,Low
Post_68,Twitter,#Dance,Reel,1059696,75851,99754,47614,High
Post_1077,TikTok,#Fitness,Video,1026460,195036,70291,35850,Low
Post_1583,YouTube,#Challenge,Reel,416547,247208,58688,23164,Low
Post_3836,TikTok,#Fashion,Live Stream,2407138,439022,12270,28761,Medium
Post_2629,TikTok,#Challenge,Shorts,2484617,291379,87937,19854,High
Post_3387,YouTube,#Gaming,Post,4927642,277064,78365,31902,Medium
Post_3334,Twitter,#Fitness,Live Stream,467867,160629,19177,37369,Medium
Post_1200,YouTube,#Music,Video,505913,272303,96744,360,High
Post_412,YouTube,#Dance,Tweet,3230389,297140,22102,29483,Low
Post_4223,Instagram,#Challenge,Tweet,3278174,102658,57093,39631,Low
Post_1798,Instagram,#Gaming,Live Stream,1144375,451097,98397,2912,Low
Post_76,Instagram,#Dance,Tweet,1796369,145118,68421,16720,High
Post_4650,TikTok,#Music,Reel,1809827,497948,51602,37638,Low
Post_2013,Twitter,#Fitness,Reel,1891257,200446,78397,36461,High
Post_1547,Instagram,#Comedy,Shorts,1664101,117775,50763,42936,High
Post_1120,Twitter,#Fitness,Video,3497840,366736,65404,28802,High
Post_3945,YouTube,#Music,Post,3857161,320872,49073,49058,High
Post_3113,Instagram,#Education,Tweet,4099154,220498,25835,8876,High
Post_2131,TikTok,#Fitness,Post,2757579,463841,73343,31447,Low
Post_3207,Twitter,#Tech,Post,4079564,286423,76936,10893,Medium
Post_234,YouTube,#Education,Shorts,1465227,158579,8809,33511,High
Post_121,Instagram,#Comedy,Shorts,2484315,101605,80028,36281,High
Post_1599,Twitter,#Tech,Live Stream,2651800,219881,16104,23971,High
Post_4856,Instagram,#Education,Shorts,459654,356338,35844,36945,Medium
Post_3841,Instagram,#Viral,Shorts,3821272,244744,90943,48466,Low
Post_2779,YouTube,#Fashion,Post,126887,164296,64233,4209,High
Post_2528,YouTube,#Gaming,Live Stream,580413,148546,85714,30266,Medium
Post_1119,YouTube,#Viral,Live Stream,2754577,351227,85607,43219,High
Post_1276,YouTube,#Education,Video,2637799,128740,47263,25381,Low
Post_3379,YouTube,#Viral,Live Stream,2339949,121903,24944,33945,Low
Post_4327,YouTube,#Music,Reel,3738116,115957,28372,25689,Low
